epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,226.055,1.46352,0.93647,0.99816,0.22795,0.00333088,0.00333088,0.00333088
2,445.973,0.2595,0.96791,0.99963,0.09644,0.00633433,0.00633433,0.00633433
3,656.61,0.16749,0.97242,0.99972,0.07979,0.00900779,0.00900779,0.00900779
4,848.93,0.14376,0.98032,0.99972,0.05721,0.008515,0.008515,0.008515
5,1064.29,0.1076,0.9875,0.99982,0.03738,0.00802,0.00802,0.00802
6,1257.28,0.08857,0.98915,0.99982,0.03142,0.007525,0.007525,0.007525
7,1447.39,0.07678,0.98924,0.99982,0.02944,0.00703,0.00703,0.00703
8,1663.22,0.06733,0.99347,0.99982,0.02321,0.006535,0.006535,0.006535
9,1862.77,0.05617,0.99172,0.99982,0.02361,0.00604,0.00604,0.00604
10,2051.56,0.05193,0.99412,0.99982,0.01853,0.005545,0.005545,0.005545
11,2259.36,0.04697,0.99448,0.99982,0.01789,0.00505,0.00505,0.00505
12,2460.61,0.04433,0.99531,0.99982,0.01502,0.004555,0.004555,0.004555
13,2650.94,0.0412,0.99476,0.99982,0.01677,0.00406,0.00406,0.00406
14,2841.27,0.03475,0.9943,0.99982,0.01594,0.003565,0.003565,0.003565
15,3055.52,0.03087,0.99605,0.99982,0.01361,0.00307,0.00307,0.00307
16,3246.31,0.0286,0.99641,0.99982,0.0134,0.002575,0.002575,0.002575
17,3435.43,0.02659,0.99614,0.99982,0.01293,0.00208,0.00208,0.00208
18,3625.21,0.02292,0.99641,0.99982,0.0123,0.001585,0.001585,0.001585
19,3814.76,0.02185,0.99651,0.99982,0.01217,0.00109,0.00109,0.00109
20,4004.04,0.02007,0.99669,0.99982,0.01179,0.000595,0.000595,0.000595
